,date,open,high,low,close,volume
37,May 27 2014,1902.01,1912.28,1902.01,1911.91,469659768
38,May 28 2014,1911.77,1914.46,1907.30,1909.78,408919016
39,May 29 2014,1910.60,1920.03,1909.82,1920.03,371597536
40,Jun 2 2014,1923.87,1925.88,1915.98,1924.97,376846469
41,Jun 3 2014,1923.07,1925.07,1918.79,1924.24,414841285
42,Jun 4 2014,1923.06,1928.63,1918.60,1927.88,403725654
43,Jun 5 2014,1928.52,1941.74,1922.93,1940.46,431125075
44,Jun 6 2014,1942.41,1949.44,1942.41,1949.44,445161606
45,Jun 9 2014,1948.97,1955.55,1947.16,1951.27,422431624
46,Jun 10 2014,1950.34,1950.86,1944.64,1950.79,405664186
47,Jun 11 2014,1949.37,1949.37,1940.08,1943.89,387283719
48,Jun 12 2014,1943.35,1943.35,1925.78,1930.11,459956146
49,Jun 13 2014,1930.80,1937.30,1927.69,1936.16,445392285
50,Jun 16 2014,1934.84,1941.15,1930.91,1937.78,437288634
51,Jun 17 2014,1937.15,1943.69,1933.55,1941.99,405863064
52,Jun 18 2014,1942.73,1957.74,1939.29,1956.98,436454870
53,Jun 19 2014,1957.50,1959.87,1952.26,1959.48,476002520
54,Jun 20 2014,1960.45,1963.91,1959.17,1962.87,1209685149
55,Jun 23 2014,1962.92,1963.74,1958.89,1962.61,411854618
56,Jun 24 2014,1961.97,1968.17,1948.34,1949.98,482070052
57,Jun 25 2014,1949.27,1960.83,1947.49,1959.53,455366217
58,Jun 26 2014,1959.89,1959.89,1944.69,1957.22,404542402
59,Jun 27 2014,1956.56,1961.47,1952.18,1960.96,736991948
60,Jul 1 2014,1962.29,1978.58,1962.29,1973.32,438761391
61,Jul 2 2014,1973.06,1976.67,1972.58,1974.62,386021127
62,Jul 3 2014,1975.88,1985.59,1975.88,1985.44,366541191
63,Jul 7 2014,1984.22,1984.22,1974.88,1977.65,399491515
64,Jul 8 2014,1976.39,1976.39,1959.46,1963.71,482721915
65,Jul 9 2014,1965.10,1974.15,1965.10,1972.83,414872389
66,Jul 10 2014,1966.67,1969.84,1952.86,1964.68,417456957
67,Jul 11 2014,1965.76,1968.67,1959.63,1967.57,375548761
68,Jul 14 2014,1969.86,1979.85,1969.86,1977.10,398064106
69,Jul 15 2014,1977.36,1982.52,1965.34,1973.28,544581519
70,Jul 16 2014,1976.35,1983.94,1975.67,1981.57,517539723
71,Jul 17 2014,1979.75,1981.80,1955.59,1958.12,541630260
72,Jul 18 2014,1961.54,1979.91,1960.82,1978.22,582965973
73,Jul 21 2014,1976.93,1976.93,1965.77,1973.63,397417585
74,Jul 22 2014,1975.65,1986.24,1975.65,1983.53,425726762
75,Jul 23 2014,1985.32,1989.23,1982.44,1987.01,468319122
76,Jul 24 2014,1988.07,1991.39,1985.79,1987.98,471603725
77,Jul 25 2014,1984.60,1984.60,1974.37,1978.34,414635733
78,Jul 28 2014,1978.25,1981.52,1967.31,1978.91,436388191
79,Jul 29 2014,1980.03,1984.85,1969.95,1969.95,492838802
80,Jul 30 2014,1973.21,1978.90,1962.42,1970.07,476985409
81,Aug 1 2014,1929.80,1937.35,1916.37,1925.15,519200939
82,Aug 4 2014,1926.62,1942.92,1921.20,1938.99,468874902
83,Aug 5 2014,1936.34,1936.34,1913.77,1920.21,500527836
84,Aug 6 2014,1917.29,1927.91,1911.45,1920.24,488369233
85,Aug 7 2014,1923.03,1928.89,1904.78,1909.57,474067876
86,Aug 8 2014,1910.35,1932.38,1909.01,1931.59,456088503
87,Aug 11 2014,1933.43,1944.90,1933.43,1936.92,399490717
88,Aug 12 2014,1935.73,1939.65,1928.29,1933.75,352024097
89,Aug 13 2014,1935.60,1948.41,1935.60,1946.72,368395987
90,Aug 14 2014,1947.41,1955.23,1947.41,1955.18,322147247
91,Aug 15 2014,1958.87,1964.04,1941.50,1955.06,599550669
92,Aug 18 2014,1958.36,1971.99,1958.36,1971.74,422144586
93,Aug 19 2014,1972.73,1982.57,1972.73,1981.60,393523737
94,Aug 20 2014,1980.46,1988.57,1977.68,1986.51,378232246
95,Aug 21 2014,1986.82,1994.76,1986.82,1992.37,395027171
96,Aug 22 2014,1992.60,1993.54,1984.76,1988.40,377872101
97,Aug 25 2014,1991.74,2001.95,1991.74,1997.92,336826978
98,Aug 26 2014,1998.59,2005.04,1998.59,2000.02,314079664
99,Aug 27 2014,2000.54,2002.14,1996.20,2000.12,342143621
100,Aug 28 2014,1997.42,1998.55,1990.52,1996.74,315882057
101,Sep 2 2014,2004.07,2006.12,1994.85,2002.28,399418982
102,Sep 3 2014,2003.57,2009.28,1998.14,2000.72,396734423
103,Sep 4 2014,2001.67,2011.17,1992.54,1997.65,426756455
104,Sep 5 2014,1998.00,2007.71,1990.10,2007.71,450560505
105,Sep 8 2014,2007.17,2007.17,1995.60,2001.54,411969635
106,Sep 9 2014,2000.73,2001.01,1984.61,1988.44,450978034
107,Sep 10 2014,1988.41,1996.66,1982.99,1995.69,427131068
108,Sep 11 2014,1992.85,1997.65,1985.93,1997.45,399776752
109,Sep 12 2014,1996.74,1996.74,1980.26,1985.54,500131371
110,Sep 15 2014,1986.04,1987.18,1978.48,1984.13,433853454
111,Sep 16 2014,1981.93,2002.28,1979.06,1998.98,441783387
112,Sep 17 2014,1999.30,2010.74,1993.29,2001.57,478418443
113,Sep 18 2014,2003.07,2012.34,2003.07,2011.36,475880094
114,Sep 19 2014,2012.74,2019.26,2006.59,2010.40,1399699724
115,Sep 22 2014,2009.08,2009.08,1991.01,1994.29,474795518
116,Sep 23 2014,1992.78,1995.41,1982.77,1982.77,483710943
117,Sep 24 2014,1983.34,1999.79,1978.63,1998.30,486044931
118,Sep 25 2014,1997.32,1997.32,1965.99,1965.99,526199205
119,Sep 26 2014,1966.22,1986.37,1966.22,1982.85,436267551
